C,B,A
thou,defoe-robinson-103.txt,1.14E-04
honest,defoe-robinson-103.txt,1.08E-04
pray,defoe-robinson-103.txt,1.08E-04
rum,defoe-robinson-103.txt,1.08E-04
ached,callwild,1.07E-04
alert,callwild,1.07E-04
bulls,callwild,1.07E-04
compelled,callwild,1.07E-04
decided,callwild,1.07E-04
disappeared,callwild,1.07E-04
dragging,callwild,1.07E-04
dyea,callwild,1.07E-04
eyed,callwild,1.07E-04
fiercely,callwild,1.07E-04
furry,callwild,1.07E-04
gee,callwild,1.07E-04
hell,callwild,1.07E-04
howled,callwild,1.07E-04
hurled,callwild,1.07E-04
jaws,callwild,1.07E-04
jerk,callwild,1.07E-04
jerked,callwild,1.07E-04
lazy,callwild,1.07E-04
leadership,callwild,1.07E-04
limp,callwild,1.07E-04
limping,callwild,1.07E-04
memories,callwild,1.07E-04
mid,callwild,1.07E-04
panting,callwild,1.07E-04
path,callwild,1.07E-04
rapids,callwild,1.07E-04
reply,callwild,1.07E-04
retreated,callwild,1.07E-04
revolver,callwild,1.07E-04
sank,callwild,1.07E-04
sleds,callwild,1.07E-04
snap,callwild,1.07E-04
steal,callwild,1.07E-04
streams,callwild,1.07E-04
swept,callwild,1.07E-04
teek,callwild,1.07E-04
twilight,callwild,1.07E-04
unlike,callwild,1.07E-04
waxed,callwild,1.07E-04
whined,callwild,1.07E-04
wot,callwild,1.07E-04
wouldn,callwild,1.07E-04
yelp,callwild,1.07E-04
yelping,callwild,1.07E-04
bade,defoe-robinson-103.txt,1.02E-04
concluded,defoe-robinson-103.txt,1.02E-04
degree,defoe-robinson-103.txt,1.02E-04
fence,defoe-robinson-103.txt,1.02E-04
guns,defoe-robinson-103.txt,1.02E-04
month,defoe-robinson-103.txt,1.02E-04
november,defoe-robinson-103.txt,1.02E-04
sword,defoe-robinson-103.txt,1.02E-04
wretches,defoe-robinson-103.txt,1.02E-04
describe,defoe-robinson-103.txt,9.66E-05
friend,defoe-robinson-103.txt,9.66E-05
fright,defoe-robinson-103.txt,9.66E-05
june,defoe-robinson-103.txt,9.66E-05
kid,defoe-robinson-103.txt,9.66E-05
liberty,defoe-robinson-103.txt,9.66E-05
religion,defoe-robinson-103.txt,9.66E-05
table,defoe-robinson-103.txt,9.66E-05
bid,defoe-robinson-103.txt,9.09E-05
cost,defoe-robinson-103.txt,9.09E-05
crop,defoe-robinson-103.txt,9.09E-05
directed,defoe-robinson-103.txt,9.09E-05
hedge,defoe-robinson-103.txt,9.09E-05
knowing,defoe-robinson-103.txt,9.09E-05
moidores,defoe-robinson-103.txt,9.09E-05
muskets,defoe-robinson-103.txt,9.09E-05
perceive,defoe-robinson-103.txt,9.09E-05
ships,defoe-robinson-103.txt,9.09E-05
spare,defoe-robinson-103.txt,9.09E-05
vessel,defoe-robinson-103.txt,9.09E-05
violence,defoe-robinson-103.txt,9.09E-05
violent,defoe-robinson-103.txt,9.09E-05
advances,callwild,8.59E-05
amid,callwild,8.59E-05
announced,callwild,8.59E-05
arctic,callwild,8.59E-05
backed,callwild,8.59E-05
barely,callwild,8.59E-05
beneath,callwild,8.59E-05
bite,callwild,8.59E-05
blinking,callwild,8.59E-05
bully,callwild,8.59E-05
canadian,callwild,8.59E-05
car,callwild,8.59E-05
clara,callwild,8.59E-05
cliff,callwild,8.59E-05
closer,callwild,8.59E-05
courier,callwild,8.59E-05
crawling,callwild,8.59E-05
dawn,callwild,8.59E-05
deliberately,callwild,8.59E-05
demanded,callwild,8.59E-05
despatches,callwild,8.59E-05
dignity,callwild,8.59E-05
discipline,callwild,8.59E-05
dolly,callwild,8.59E-05
fangs,callwild,8.59E-05
flames,callwild,8.59E-05
flank,callwild,8.59E-05
gad,callwild,8.59E-05
generations,callwild,8.59E-05
gleaming,callwild,8.59E-05
grey,callwild,8.59E-05
halt,callwild,8.59E-05
harnessed,callwild,8.59E-05
hiding,callwild,8.59E-05
lak,callwild,8.59E-05
lean,callwild,8.59E-05
leaping,callwild,8.59E-05
lesson,callwild,8.59E-05
loafing,callwild,8.59E-05
lolling,callwild,8.59E-05
malingerer,callwild,8.59E-05
mastery,callwild,8.59E-05
moccasins,callwild,8.59E-05
mongrels,callwild,8.59E-05
mournful,callwild,8.59E-05
muscle,callwild,8.59E-05
narwhal,callwild,8.59E-05
noses,callwild,8.59E-05
occupied,callwild,8.59E-05
plunge,callwild,8.59E-05
quarrelling,callwild,8.59E-05
quivering,callwild,8.59E-05
salmon,callwild,8.59E-05
santa,callwild,8.59E-05
sniffed,callwild,8.59E-05
squirrels,callwild,8.59E-05
stamped,callwild,8.59E-05
stole,callwild,8.59E-05
stretches,callwild,8.59E-05
swinging,callwild,8.59E-05
tightened,callwild,8.59E-05
toots,callwild,8.59E-05
unbroken,callwild,8.59E-05
unwonted,callwild,8.59E-05
vague,callwild,8.59E-05
waggon,callwild,8.59E-05
weazened,callwild,8.59E-05
whining,callwild,8.59E-05
wrath,callwild,8.59E-05
ysabel,callwild,8.59E-05
bottles,defoe-robinson-103.txt,8.52E-05
daily,defoe-robinson-103.txt,8.52E-05
double,defoe-robinson-103.txt,8.52E-05
exceeding,defoe-robinson-103.txt,8.52E-05
fowling,defoe-robinson-103.txt,8.52E-05
leagues,defoe-robinson-103.txt,8.52E-05
observation,defoe-robinson-103.txt,8.52E-05
otherwise,defoe-robinson-103.txt,8.52E-05
pot,defoe-robinson-103.txt,8.52E-05
provided,defoe-robinson-103.txt,8.52E-05
reflections,defoe-robinson-103.txt,8.52E-05
spaniards,defoe-robinson-103.txt,8.52E-05
unless,defoe-robinson-103.txt,8.52E-05
bower,defoe-robinson-103.txt,7.95E-05
direct,defoe-robinson-103.txt,7.95E-05
effects,defoe-robinson-103.txt,7.95E-05
employed,defoe-robinson-103.txt,7.95E-05
enemies,defoe-robinson-103.txt,7.95E-05
fetch,defoe-robinson-103.txt,7.95E-05
fortification,defoe-robinson-103.txt,7.95E-05
glass,defoe-robinson-103.txt,7.95E-05
greatest,defoe-robinson-103.txt,7.95E-05
hollow,defoe-robinson-103.txt,7.95E-05
inclination,defoe-robinson-103.txt,7.95E-05
laying,defoe-robinson-103.txt,7.95E-05
mans,defoe-robinson-103.txt,7.95E-05
notion,defoe-robinson-103.txt,7.95E-05
pleasant,defoe-robinson-103.txt,7.95E-05
posture,defoe-robinson-103.txt,7.95E-05
settled,defoe-robinson-103.txt,7.95E-05
spanish,defoe-robinson-103.txt,7.95E-05
stayed,defoe-robinson-103.txt,7.95E-05
thankfulness,defoe-robinson-103.txt,7.95E-05
useful,defoe-robinson-103.txt,7.95E-05
wholly,defoe-robinson-103.txt,7.95E-05
amazed,defoe-robinson-103.txt,7.39E-05
basket,defoe-robinson-103.txt,7.39E-05
contrary,defoe-robinson-103.txt,7.39E-05
durst,defoe-robinson-103.txt,7.39E-05
enclosure,defoe-robinson-103.txt,7.39E-05
flock,defoe-robinson-103.txt,7.39E-05
happen,defoe-robinson-103.txt,7.39E-05
islands,defoe-robinson-103.txt,7.39E-05
jumped,defoe-robinson-103.txt,7.39E-05
league,defoe-robinson-103.txt,7.39E-05
ourselves,defoe-robinson-103.txt,7.39E-05
pistols,defoe-robinson-103.txt,7.39E-05
planted,defoe-robinson-103.txt,7.39E-05
pleasure,defoe-robinson-103.txt,7.39E-05
preserve,defoe-robinson-103.txt,7.39E-05
prospect,defoe-robinson-103.txt,7.39E-05
rainy,defoe-robinson-103.txt,7.39E-05
raisins,defoe-robinson-103.txt,7.39E-05
sugar,defoe-robinson-103.txt,7.39E-05
thanks,defoe-robinson-103.txt,7.39E-05
utmost,defoe-robinson-103.txt,7.39E-05
abate,defoe-robinson-103.txt,6.82E-05
affliction,defoe-robinson-103.txt,6.82E-05
africa,defoe-robinson-103.txt,6.82E-05
boards,defoe-robinson-103.txt,6.82E-05
bullets,defoe-robinson-103.txt,6.82E-05
crusoe,defoe-robinson-103.txt,6.82E-05
degrees,defoe-robinson-103.txt,6.82E-05
earnestly,defoe-robinson-103.txt,6.82E-05
earthen,defoe-robinson-103.txt,6.82E-05
entertained,defoe-robinson-103.txt,6.82E-05
entrance,defoe-robinson-103.txt,6.82E-05
fowls,defoe-robinson-103.txt,6.82E-05
handsome,defoe-robinson-103.txt,6.82E-05
heartily,defoe-robinson-103.txt,6.82E-05
imagine,defoe-robinson-103.txt,6.82E-05
impression,defoe-robinson-103.txt,6.82E-05
lose,defoe-robinson-103.txt,6.82E-05
mark,defoe-robinson-103.txt,6.82E-05
necessity,defoe-robinson-103.txt,6.82E-05
patron,defoe-robinson-103.txt,6.82E-05
portuguese,defoe-robinson-103.txt,6.82E-05
pots,defoe-robinson-103.txt,6.82E-05
presented,defoe-robinson-103.txt,6.82E-05
print,defoe-robinson-103.txt,6.82E-05
question,defoe-robinson-103.txt,6.82E-05
reflection,defoe-robinson-103.txt,6.82E-05
remove,defoe-robinson-103.txt,6.82E-05
sails,defoe-robinson-103.txt,6.82E-05
sowed,defoe-robinson-103.txt,6.82E-05
value,defoe-robinson-103.txt,6.82E-05
wait,defoe-robinson-103.txt,6.82E-05
whereas,defoe-robinson-103.txt,6.82E-05
whither,defoe-robinson-103.txt,6.82E-05
achieved,callwild,6.44E-05
active,callwild,6.44E-05
advertised,callwild,6.44E-05
akin,callwild,6.44E-05
alongside,callwild,6.44E-05
ancestors,callwild,6.44E-05
anger,callwild,6.44E-05
angle,callwild,6.44E-05
animals,callwild,6.44E-05
antagonist,callwild,6.44E-05
avoided,callwild,6.44E-05
bernard,callwild,6.44E-05
booming,callwild,6.44E-05
brien,callwild,6.44E-05
budge,callwild,6.44E-05
burton,callwild,6.44E-05
cadences,callwild,6.44E-05
calamity,callwild,6.44E-05
characterised,callwild,6.44E-05
chattering,callwild,6.44E-05
chorus,callwild,6.44E-05
chunk,callwild,6.44E-05
civilised,callwild,6.44E-05
clasped,callwild,6.44E-05
clearing,callwild,6.44E-05
coated,callwild,6.44E-05
colt,callwild,6.44E-05
conscious,callwild,6.44E-05
crawl,callwild,6.44E-05
creeping,callwild,6.44E-05
crouched,callwild,6.44E-05
curiously,callwild,6.44E-05
cursing,callwild,6.44E-05
dash,callwild,6.44E-05
divined,callwild,6.44E-05
dominant,callwild,6.44E-05
earned,callwild,6.44E-05
efforts,callwild,6.44E-05
enabled,callwild,6.44E-05
endured,callwild,6.44E-05
environment,callwild,6.44E-05
existence,callwild,6.44E-05
expression,callwild,6.44E-05
fanged,callwild,6.44E-05
favoured,callwild,6.44E-05
ferocity,callwild,6.44E-05
flashed,callwild,6.44E-05
flashing,callwild,6.44E-05
frenzy,callwild,6.44E-05
frothing,callwild,6.44E-05
furiously,callwild,6.44E-05
gar,callwild,6.44E-05
gardener,callwild,6.44E-05
gaunt,callwild,6.44E-05
ghostly,callwild,6.44E-05
grip,callwild,6.44E-05
gripped,callwild,6.44E-05
halted,callwild,6.44E-05
hidden,callwild,6.44E-05
hostile,callwild,6.44E-05
humans,callwild,6.44E-05
hunters,callwild,6.44E-05
imperiously,callwild,6.44E-05
instincts,callwild,6.44E-05
interfered,callwild,6.44E-05
irritable,callwild,6.44E-05
koona,callwild,6.44E-05
lack,callwild,6.44E-05
lakes,callwild,6.44E-05
licked,callwild,6.44E-05
licking,callwild,6.44E-05
limped,callwild,6.44E-05
limply,callwild,6.44E-05
lope,callwild,6.44E-05
mane,callwild,6.44E-05
mass,callwild,6.44E-05
matted,callwild,6.44E-05
meeting,callwild,6.44E-05
moral,callwild,6.44E-05
motionless,callwild,6.44E-05
movements,callwild,6.44E-05
murmur,callwild,6.44E-05
mysterious,callwild,6.44E-05
newcomers,callwild,6.44E-05
newfoundland,callwild,6.44E-05
nipped,callwild,6.44E-05
nodded,callwild,6.44E-05
nostrils,callwild,6.44E-05
oaths,callwild,6.44E-05
onlookers,callwild,6.44E-05
overhead,callwild,6.44E-05
peculiar,callwild,6.44E-05
peered,callwild,6.44E-05
perpetual,callwild,6.44E-05
pivoting,callwild,6.44E-05
police,callwild,6.44E-05
progress,callwild,6.44E-05
quivered,callwild,6.44E-05
repeatedly,callwild,6.44E-05
responded,callwild,6.44E-05
ribs,callwild,6.44E-05
rival,callwild,6.44E-05
scent,callwild,6.44E-05
scenting,callwild,6.44E-05
shadows,callwild,6.44E-05
shepherd,callwild,6.44E-05
simply,callwild,6.44E-05
skookum,callwild,6.44E-05
slack,callwild,6.44E-05
slippery,callwild,6.44E-05
slope,callwild,6.44E-05
slovenly,callwild,6.44E-05
slyly,callwild,6.44E-05
snake,callwild,6.44E-05
snapped,callwild,6.44E-05
snubbed,callwild,6.44E-05
songs,callwild,6.44E-05
sour,callwild,6.44E-05
spark,callwild,6.44E-05
spruce,callwild,6.44E-05
stiffness,callwild,6.44E-05
stopping,callwild,6.44E-05
streaming,callwild,6.44E-05
stricken,callwild,6.44E-05
striving,callwild,6.44E-05
succeeded,callwild,6.44E-05
succession,callwild,6.44E-05
supremacy,callwild,6.44E-05
swayed,callwild,6.44E-05
tangle,callwild,6.44E-05
tangled,callwild,6.44E-05
tank,callwild,6.44E-05
teams,callwild,6.44E-05
tearing,callwild,6.44E-05
thawed,callwild,6.44E-05
threatened,callwild,6.44E-05
throats,callwild,6.44E-05
tireless,callwild,6.44E-05
unending,callwild,6.44E-05
utterly,callwild,6.44E-05
wheeler,callwild,6.44E-05
whimpered,callwild,6.44E-05
whispered,callwild,6.44E-05
wiping,callwild,6.44E-05
wraith,callwild,6.44E-05
younger,callwild,6.44E-05
zero,callwild,6.44E-05
april,defoe-robinson-103.txt,6.25E-05
bottle,defoe-robinson-103.txt,6.25E-05
brazil,defoe-robinson-103.txt,6.25E-05
cats,defoe-robinson-103.txt,6.25E-05
christian,defoe-robinson-103.txt,6.25E-05
convinced,defoe-robinson-103.txt,6.25E-05
cured,defoe-robinson-103.txt,6.25E-05
desolate,defoe-robinson-103.txt,6.25E-05
eleven,defoe-robinson-103.txt,6.25E-05
european,defoe-robinson-103.txt,6.25E-05
fate,defoe-robinson-103.txt,6.25E-05
feed,defoe-robinson-103.txt,6.25E-05
generally,defoe-robinson-103.txt,6.25E-05
hazard,defoe-robinson-103.txt,6.25E-05
infinite,defoe-robinson-103.txt,6.25E-05
inhabited,defoe-robinson-103.txt,6.25E-05
latitude,defoe-robinson-103.txt,6.25E-05
lest,defoe-robinson-103.txt,6.25E-05
measures,defoe-robinson-103.txt,6.25E-05
necessaries,defoe-robinson-103.txt,6.25E-05
october,defoe-robinson-103.txt,6.25E-05
partner,defoe-robinson-103.txt,6.25E-05
piles,defoe-robinson-103.txt,6.25E-05
preserved,defoe-robinson-103.txt,6.25E-05
promised,defoe-robinson-103.txt,6.25E-05
rains,defoe-robinson-103.txt,6.25E-05
religious,defoe-robinson-103.txt,6.25E-05
retreat,defoe-robinson-103.txt,6.25E-05
robin,defoe-robinson-103.txt,6.25E-05
sallee,defoe-robinson-103.txt,6.25E-05
seldom,defoe-robinson-103.txt,6.25E-05
september,defoe-robinson-103.txt,6.25E-05
servant,defoe-robinson-103.txt,6.25E-05
smooth,defoe-robinson-103.txt,6.25E-05
sow,defoe-robinson-103.txt,6.25E-05
swim,defoe-robinson-103.txt,6.25E-05
tied,defoe-robinson-103.txt,6.25E-05
wicked,defoe-robinson-103.txt,6.25E-05
1,defoe-robinson-103.txt,5.68E-05
2,defoe-robinson-103.txt,5.68E-05
abated,defoe-robinson-103.txt,5.68E-05
agreeable,defoe-robinson-103.txt,5.68E-05
america,defoe-robinson-103.txt,5.68E-05
assist,defoe-robinson-103.txt,5.68E-05
concern,defoe-robinson-103.txt,5.68E-05
devour,defoe-robinson-103.txt,5.68E-05
dismal,defoe-robinson-103.txt,5.68E-05
does,defoe-robinson-103.txt,5.68E-05
due,defoe-robinson-103.txt,5.68E-05
effect,defoe-robinson-103.txt,5.68E-05
exceedingly,defoe-robinson-103.txt,5.68E-05
fly,defoe-robinson-103.txt,5.68E-05
formerly,defoe-robinson-103.txt,5.68E-05
guinea,defoe-robinson-103.txt,5.68E-05
hallooed,defoe-robinson-103.txt,5.68E-05
harvest,defoe-robinson-103.txt,5.68E-05
jars,defoe-robinson-103.txt,5.68E-05
journal,defoe-robinson-103.txt,5.68E-05
kids,defoe-robinson-103.txt,5.68E-05
loth,defoe-robinson-103.txt,5.68E-05
mainland,defoe-robinson-103.txt,5.68E-05
mast,defoe-robinson-103.txt,5.68E-05
milk,defoe-robinson-103.txt,5.68E-05
pocket,defoe-robinson-103.txt,5.68E-05
provision,defoe-robinson-103.txt,5.68E-05
repentance,defoe-robinson-103.txt,5.68E-05
resolution,defoe-robinson-103.txt,5.68E-05
seriously,defoe-robinson-103.txt,5.68E-05
sunk,defoe-robinson-103.txt,5.68E-05
thee,defoe-robinson-103.txt,5.68E-05
trustees,defoe-robinson-103.txt,5.68E-05
turtle,defoe-robinson-103.txt,5.68E-05
wear,defoe-robinson-103.txt,5.68E-05
works,defoe-robinson-103.txt,5.68E-05
yield,defoe-robinson-103.txt,5.68E-05
absolutely,defoe-robinson-103.txt,5.11E-05
agreed,defoe-robinson-103.txt,5.11E-05
barrel,defoe-robinson-103.txt,5.11E-05
baskets,defoe-robinson-103.txt,5.11E-05
beckoned,defoe-robinson-103.txt,5.11E-05
biscuit,defoe-robinson-103.txt,5.11E-05
blessing,defoe-robinson-103.txt,5.11E-05
breach,defoe-robinson-103.txt,5.11E-05
carpenter,defoe-robinson-103.txt,5.11E-05
composed,defoe-robinson-103.txt,5.11E-05
conscience,defoe-robinson-103.txt,5.11E-05
consequently,defoe-robinson-103.txt,5.11E-05
courage,defoe-robinson-103.txt,5.11E-05
currents,defoe-robinson-103.txt,5.11E-05
despair,defoe-robinson-103.txt,5.11E-05
divided,defoe-robinson-103.txt,5.11E-05
employment,defoe-robinson-103.txt,5.11E-05
estate,defoe-robinson-103.txt,5.11E-05
etc,defoe-robinson-103.txt,5.11E-05
fancied,defoe-robinson-103.txt,5.11E-05
feast,defoe-robinson-103.txt,5.11E-05
forget,defoe-robinson-103.txt,5.11E-05
furnish,defoe-robinson-103.txt,5.11E-05
grove,defoe-robinson-103.txt,5.11E-05
heap,defoe-robinson-103.txt,5.11E-05
increasing,defoe-robinson-103.txt,5.11E-05
jesus,defoe-robinson-103.txt,5.11E-05
linen,defoe-robinson-103.txt,5.11E-05
loud,defoe-robinson-103.txt,5.11E-05
merchant,defoe-robinson-103.txt,5.11E-05
miseries,defoe-robinson-103.txt,5.11E-05
moors,defoe-robinson-103.txt,5.11E-05
parrot,defoe-robinson-103.txt,5.11E-05
perish,defoe-robinson-103.txt,5.11E-05
person,defoe-robinson-103.txt,5.11E-05
post,defoe-robinson-103.txt,5.11E-05
rich,defoe-robinson-103.txt,5.11E-05
ruin,defoe-robinson-103.txt,5.11E-05
saving,defoe-robinson-103.txt,5.11E-05
serious,defoe-robinson-103.txt,5.11E-05
serve,defoe-robinson-103.txt,5.11E-05
signal,defoe-robinson-103.txt,5.11E-05
smoke,defoe-robinson-103.txt,5.11E-05
subject,defoe-robinson-103.txt,5.11E-05
thereabouts,defoe-robinson-103.txt,5.11E-05
volley,defoe-robinson-103.txt,5.11E-05
wooden,defoe-robinson-103.txt,5.11E-05
3,defoe-robinson-103.txt,4.55E-05
affairs,defoe-robinson-103.txt,4.55E-05
august,defoe-robinson-103.txt,4.55E-05
broth,defoe-robinson-103.txt,4.55E-05
burn,defoe-robinson-103.txt,4.55E-05
bushels,defoe-robinson-103.txt,4.55E-05
cakes,defoe-robinson-103.txt,4.55E-05
candles,defoe-robinson-103.txt,4.55E-05
catch,defoe-robinson-103.txt,4.55E-05
christ,defoe-robinson-103.txt,4.55E-05
climate,defoe-robinson-103.txt,4.55E-05
consequence,defoe-robinson-103.txt,4.55E-05
contented,defoe-robinson-103.txt,4.55E-05
contrived,defoe-robinson-103.txt,4.55E-05
countrymen,defoe-robinson-103.txt,4.55E-05
crew,defoe-robinson-103.txt,4.55E-05
dangers,defoe-robinson-103.txt,4.55E-05
dram,defoe-robinson-103.txt,4.55E-05
earthquake,defoe-robinson-103.txt,4.55E-05
expectation,defoe-robinson-103.txt,4.55E-05
fain,defoe-robinson-103.txt,4.55E-05
fancy,defoe-robinson-103.txt,4.55E-05
fetched,defoe-robinson-103.txt,4.55E-05
grave,defoe-robinson-103.txt,4.55E-05
hanged,defoe-robinson-103.txt,4.55E-05
harbor,defoe-robinson-103.txt,4.55E-05
