A,B
3723,2.46E-04
846,2.45E-04
557,2.45E-04
2030,2.44E-04
1642,2.44E-04
88,2.44E-04
5208,2.44E-04
1622,2.43E-04
7806,2.42E-04
1813,2.41E-04
3277,2.40E-04
3280,2.40E-04
172,2.40E-04
223,2.40E-04
22933,2.38E-04
4076,2.38E-04
2861,2.38E-04
685,2.37E-04
340,2.37E-04
415,2.37E-04
6175,2.37E-04
3276,2.37E-04
3684,2.36E-04
548,2.36E-04
2637,2.35E-04
21938,2.35E-04
2049,2.35E-04
370,2.35E-04
745,2.35E-04
8648,2.34E-04
696,2.33E-04
39,2.32E-04
235,2.32E-04
2232,2.31E-04
2037,2.31E-04
3014,2.31E-04
913,2.30E-04
1893,2.30E-04
7608,2.30E-04
2373,2.30E-04
2696,2.30E-04
1397,2.29E-04
1254,2.29E-04
969,2.29E-04
2110,2.28E-04
110,2.28E-04
436,2.28E-04
4168,2.28E-04
3138,2.28E-04
2217,2.27E-04
2710,2.26E-04
413,2.26E-04
2174,2.26E-04
5972,2.26E-04
1912,2.25E-04
2424,2.24E-04
4354,2.23E-04
6633,2.23E-04
5205,2.23E-04
6864,2.22E-04
3499,2.22E-04
414,2.22E-04
10498,2.21E-04
1899,2.21E-04
9256,2.21E-04
547,2.21E-04
994,2.21E-04
116,2.21E-04
1763,2.20E-04
3065,2.20E-04
6865,2.19E-04
2635,2.19E-04
1906,2.19E-04
315,2.18E-04
1896,2.18E-04
2241,2.18E-04
1004,2.17E-04
7579,2.17E-04
1037,2.16E-04
115,2.16E-04
5953,2.15E-04
972,2.15E-04
852,2.14E-04
3718,2.13E-04
2371,2.13E-04
4187,2.13E-04
123,2.12E-04
3841,2.12E-04
1406,2.11E-04
1714,2.11E-04
2047,2.11E-04
2995,2.11E-04
4039,2.10E-04
4041,2.10E-04
779,2.10E-04
4423,2.09E-04
665,2.09E-04
4115,2.09E-04
1902,2.09E-04
76,2.08E-04
350,2.08E-04
4118,2.07E-04
4411,2.07E-04
111,2.07E-04
6561,2.07E-04
354,2.07E-04
2230,2.07E-04
2201,2.06E-04
120,2.06E-04
4061,2.06E-04
2034,2.06E-04
1171,2.06E-04
3892,2.06E-04
7301,2.05E-04
2561,2.05E-04
2639,2.04E-04
1283,2.04E-04
2040,2.04E-04
1436,2.03E-04
2775,2.03E-04
976,2.03E-04
7928,2.03E-04
4040,2.02E-04
198,2.02E-04
9479,2.02E-04
5104,2.02E-04
7253,2.01E-04
2899,2.01E-04
5177,2.01E-04
2061,2.01E-04
2511,2.01E-04
71382,2.00E-04
1224,2.00E-04
2821,2.00E-04
7310,2.00E-04
5933,1.99E-04
7843,1.99E-04
3783,1.99E-04
3703,1.99E-04
1412,1.98E-04
1618,1.98E-04
360,1.98E-04
3687,1.98E-04
2033,1.97E-04
349,1.97E-04
983,1.96E-04
318,1.96E-04
1259,1.96E-04
1898,1.96E-04
4984,1.94E-04
845,1.94E-04
22348,1.94E-04
989,1.93E-04
89,1.93E-04
1748,1.93E-04
1206,1.93E-04
133,1.93E-04
2867,1.92E-04
19665,1.92E-04
917,1.92E-04
9397,1.92E-04
782,1.92E-04
2630,1.90E-04
4417,1.90E-04
4,1.90E-04
5206,1.90E-04
851,1.90E-04
5117,1.89E-04
565,1.89E-04
1276,1.89E-04
1407,1.89E-04
5032,1.88E-04
1167,1.88E-04
1615,1.87E-04
2800,1.87E-04
6420,1.85E-04
2498,1.85E-04
2027,1.85E-04
7251,1.85E-04
335,1.83E-04
2640,1.83E-04
4231,1.83E-04
916,1.82E-04
407,1.82E-04
4342,1.82E-04
847,1.82E-04
3866,1.81E-04
650,1.80E-04
108,1.80E-04
5951,1.80E-04
11,1.80E-04
2169,1.80E-04
8740,1.80E-04
4260,1.79E-04
1016,1.79E-04
2231,1.78E-04
2647,1.78E-04
7250,1.78E-04
1904,1.78E-04
345,1.78E-04
3984,1.78E-04
23465,1.78E-04
998,1.77E-04
2865,1.77E-04
4946,1.77E-04
2303,1.77E-04
2871,1.77E-04
590,1.76E-04
1439,1.76E-04
1174,1.76E-04
1857,1.75E-04
1572,1.75E-04
2046,1.74E-04
3717,1.74E-04
2446,1.74E-04
3510,1.74E-04
2651,1.74E-04
5140,1.74E-04
282,1.73E-04
1305,1.73E-04
2435,1.73E-04
4278,1.73E-04
87,1.73E-04
5209,1.72E-04
979,1.72E-04
1036,1.72E-04
2687,1.71E-04
6557,1.71E-04
5414,1.71E-04
137,1.71E-04
4042,1.70E-04
5813,1.70E-04
6565,1.70E-04
38,1.70E-04
1561,1.69E-04
2043,1.69E-04
1011,1.69E-04
445,1.69E-04
5131,1.69E-04
5829,1.68E-04
6990,1.68E-04
237,1.68E-04
721,1.68E-04
3285,1.68E-04
400,1.68E-04
113,1.68E-04
1741,1.67E-04
4567,1.67E-04
6562,1.66E-04
930,1.66E-04
1915,1.66E-04
3534,1.66E-04
2067,1.66E-04
442,1.65E-04
2234,1.65E-04
1783,1.64E-04
4062,1.64E-04
132,1.63E-04
9862,1.63E-04
14108,1.63E-04
1558,1.63E-04
2060,1.63E-04
1532,1.63E-04
155,1.63E-04
109,1.63E-04
9534,1.62E-04
1503,1.62E-04
3092,1.62E-04
4955,1.62E-04
3306,1.62E-04
3275,1.62E-04
13136,1.62E-04
11519,1.62E-04
3659,1.62E-04
9639,1.62E-04
1901,1.62E-04
2222,1.62E-04
32,1.61E-04
3062,1.61E-04
3255,1.60E-04
1483,1.60E-04
376,1.60E-04
8754,1.60E-04
552,1.60E-04
1647,1.60E-04
7437,1.60E-04
4617,1.59E-04
10703,1.59E-04
428,1.58E-04
4177,1.58E-04
1658,1.58E-04
4876,1.58E-04
802,1.57E-04
119,1.57E-04
2051,1.57E-04
2713,1.57E-04
1005,1.57E-04
597,1.57E-04
14543,1.57E-04
1027,1.57E-04
5098,1.56E-04
1008,1.56E-04
1272,1.56E-04
6946,1.55E-04
7248,1.55E-04
1814,1.55E-04
7040,1.55E-04
4010,1.55E-04
3462,1.54E-04
9845,1.54E-04
124,1.54E-04
1002,1.54E-04
4165,1.54E-04
1013,1.54E-04
75,1.53E-04
3398,1.53E-04
71402,1.53E-04
3932,1.53E-04
6631,1.52E-04
545,1.52E-04
3859,1.51E-04
1028,1.51E-04
1596,1.51E-04
2288,1.51E-04
2161,1.50E-04
1636,1.50E-04
649,1.50E-04
558,1.50E-04
3352,1.50E-04
1435,1.50E-04
1900,1.50E-04
559,1.49E-04
4081,1.49E-04
1897,1.49E-04
4098,1.49E-04
5273,1.49E-04
5680,1.49E-04
6171,1.49E-04
3431,1.48E-04
640,1.48E-04
1346,1.47E-04
2029,1.47E-04
4163,1.47E-04
2652,1.47E-04
769,1.47E-04
4761,1.47E-04
1433,1.46E-04
683,1.46E-04
297,1.46E-04
4867,1.46E-04
7609,1.46E-04
2686,1.46E-04
6868,1.46E-04
25,1.46E-04
1176,1.46E-04
3979,1.45E-04
3173,1.45E-04
22805,1.45E-04
326,1.44E-04
6624,1.44E-04
1460,1.44E-04
451,1.44E-04
2151,1.44E-04
4325,1.43E-04
1430,1.43E-04
1192,1.43E-04
249,1.42E-04
996,1.42E-04
1581,1.42E-04
2558,1.42E-04
11092,1.42E-04
403,1.42E-04
5145,1.41E-04
5423,1.41E-04
12573,1.41E-04
1314,1.41E-04
11224,1.41E-04
71403,1.41E-04
826,1.41E-04
5947,1.40E-04
2147,1.40E-04
7511,1.40E-04
1907,1.40E-04
1640,1.40E-04
222,1.40E-04
2226,1.40E-04
386,1.40E-04
2249,1.40E-04
134,1.39E-04
8217,1.39E-04
4183,1.39E-04
405,1.39E-04
727,1.38E-04
193,1.38E-04
1533,1.38E-04
8,1.37E-04
2146,1.37E-04
5831,1.37E-04
71400,1.37E-04
4687,1.37E-04
236,1.37E-04
773,1.37E-04
2873,1.37E-04
2560,1.37E-04
4521,1.37E-04
281,1.36E-04
765,1.36E-04
1849,1.36E-04
5412,1.36E-04
5941,1.36E-04
2562,1.36E-04
644,1.36E-04
6689,1.36E-04
5393,1.36E-04
4186,1.35E-04
16281,1.35E-04
2284,1.35E-04
4619,1.35E-04
693,1.35E-04
19157,1.35E-04
4422,1.35E-04
4947,1.35E-04
1316,1.34E-04
15205,1.34E-04
9426,1.34E-04
17,1.34E-04
4047,1.33E-04
1890,1.33E-04
2678,1.33E-04
1885,1.33E-04
307,1.33E-04
3273,1.33E-04
22359,1.32E-04
1182,1.32E-04
8164,1.31E-04
6636,1.31E-04
5036,1.31E-04
3457,1.31E-04
746,1.31E-04
22689,1.30E-04
4030,1.30E-04
1035,1.30E-04
3601,1.30E-04
1324,1.30E-04
365,1.30E-04
6900,1.30E-04
1446,1.29E-04
2285,1.29E-04
1891,1.29E-04
2712,1.28E-04
1025,1.28E-04
10505,1.28E-04
873,1.28E-04
2863,1.28E-04
4950,1.28E-04
824,1.27E-04
357,1.27E-04
22906,1.27E-04
2487,1.27E-04
2116,1.27E-04
6059,1.26E-04
1641,1.26E-04
2744,1.26E-04
2654,1.26E-04
927,1.26E-04
1015,1.25E-04
71388,1.25E-04
1018,1.25E-04
5063,1.25E-04
2638,1.25E-04
139,1.25E-04
1715,1.25E-04
3503,1.25E-04
629,1.24E-04
8183,1.24E-04
3683,1.24E-04
8196,1.24E-04
3112,1.24E-04
3374,1.24E-04
7172,1.24E-04
11968,1.23E-04
1718,1.23E-04
1393,1.23E-04
6583,1.23E-04
12551,1.23E-04
5630,1.23E-04
4069,1.23E-04
712,1.22E-04
955,1.22E-04
5227,1.22E-04
126,1.22E-04
553,1.22E-04
1655,1.22E-04
2557,1.22E-04
6431,1.21E-04
1441,1.21E-04
2478,1.21E-04
434,1.21E-04
2631,1.21E-04
2991,1.21E-04
925,1.21E-04
6812,1.20E-04
4357,1.20E-04
7505,1.20E-04
4070,1.20E-04
2219,1.20E-04
7346,1.19E-04
310,1.19E-04
8158,1.19E-04
2501,1.19E-04
6320,1.19E-04
17012,1.18E-04
2057,1.18E-04
2634,1.18E-04
6168,1.18E-04
5417,1.18E-04
1520,1.17E-04
11225,1.17E-04
3692,1.17E-04
1775,1.17E-04
1402,1.17E-04
417,1.17E-04
1128,1.17E-04
2265,1.17E-04
957,1.17E-04
10599,1.16E-04
5968,1.16E-04
5474,1.16E-04
720,1.16E-04
13585,1.16E-04
12604,1.16E-04
1243,1.16E-04
794,1.16E-04
981,1.16E-04
4313,1.15E-04
1498,1.15E-04
60,1.15E-04
330,1.15E-04
516,1.15E-04
367,1.14E-04
2220,1.14E-04
1184,1.14E-04
620,1.14E-04
286,1.14E-04
18738,1.14E-04
8154,1.14E-04
1507,1.14E-04
3044,1.14E-04
31613,1.14E-04
23,1.13E-04
342,1.13E-04
4757,1.13E-04
9638,1.13E-04
6084,1.13E-04
932,1.13E-04
2054,1.13E-04
909,1.13E-04
404,1.13E-04
6698,1.13E-04
862,1.13E-04
4051,1.12E-04
1370,1.12E-04
4544,1.12E-04
1443,1.12E-04
5253,1.12E-04
1030,1.12E-04
1408,1.12E-04
2023,1.12E-04
12307,1.12E-04
1740,1.12E-04
6553,1.11E-04
661,1.11E-04
716,1.11E-04
828,1.11E-04
1021,1.11E-04
2197,1.11E-04
331,1.11E-04
4054,1.11E-04
5275,1.11E-04
1762,1.11E-04
3533,1.10E-04
2590,1.10E-04
22421,1.10E-04
3507,1.10E-04
1106,1.10E-04
1262,1.10E-04
1032,1.10E-04
2786,1.10E-04
2984,1.10E-04
3666,1.10E-04
6820,1.09E-04
4561,1.09E-04
5969,1.09E-04
20676,1.09E-04
652,1.09E-04
3181,1.09E-04
792,1.09E-04
3501,1.09E-04
2386,1.08E-04
4974,1.08E-04
3107,1.08E-04
2381,1.08E-04
7687,1.08E-04
2245,1.08E-04
7881,1.07E-04
13387,1.07E-04
4967,1.07E-04
5277,1.07E-04
1368,1.07E-04
2084,1.07E-04
3901,1.07E-04
378,1.07E-04
22947,1.07E-04
16362,1.07E-04
2290,1.07E-04
3434,1.07E-04
2088,1.07E-04
702,1.07E-04
238,1.06E-04
3114,1.06E-04
2641,1.06E-04
1033,1.06E-04
2504,1.06E-04
7104,1.06E-04
5215,1.06E-04
1614,1.06E-04
8588,1.06E-04
3282,1.06E-04
7047,1.06E-04
3119,1.06E-04
4769,1.06E-04
7512,1.05E-04
4976,1.05E-04
625,1.05E-04
9793,1.05E-04
1186,1.04E-04
4122,1.04E-04
4788,1.04E-04
4338,1.04E-04
2633,1.04E-04
14476,1.04E-04
1882,1.04E-04
8072,1.04E-04
2704,1.04E-04
3272,1.04E-04
1003,1.03E-04
554,1.03E-04
954,1.03E-04
787,1.03E-04
1933,1.03E-04
19519,1.03E-04
1709,1.03E-04
14574,1.03E-04
6167,1.03E-04
980,1.03E-04
6326,1.03E-04
1512,1.03E-04
3852,1.03E-04
7314,1.02E-04
15984,1.02E-04
2036,1.02E-04
1761,1.02E-04
6176,1.02E-04
2810,1.02E-04
704,1.02E-04
3483,1.01E-04
680,1.01E-04
5255,1.01E-04
2024,1.01E-04
2497,1.01E-04
3879,1.01E-04
1835,1.01E-04
2275,1.01E-04
1166,1.01E-04
579,1.01E-04
11201,1.01E-04
1453,1.01E-04
384,1.01E-04
3292,1.01E-04
1263,1.01E-04
3043,1.01E-04
2451,1.00E-04
4164,1.00E-04
191,1.00E-04
6169,9.99E-05
3368,9.98E-05
4259,9.97E-05
669,9.97E-05
10002,9.96E-05
3182,9.95E-05
678,9.94E-05
5760,9.94E-05
1554,9.93E-05
422,9.92E-05
3599,9.92E-05
2111,9.89E-05
8182,9.88E-05
4963,9.85E-05
508,9.85E-05
14559,9.85E-05
300,9.84E-05
2817,9.83E-05
1428,9.82E-05
98,9.81E-05
609,9.81E-05
57,9.77E-05
4167,9.76E-05
2893,9.75E-05
4089,9.75E-05
4426,9.75E-05
53226,9.75E-05
7484,9.74E-05
4573,9.74E-05
3585,9.74E-05
366,9.74E-05
2548,9.71E-05
1006,9.71E-05
2064,9.70E-05
12571,9.70E-05
6669,9.67E-05
3864,9.65E-05
6810,9.65E-05
7929,9.65E-05
2272,9.64E-05
2655,9.63E-05
1540,9.61E-05
938,9.60E-05
5428,9.60E-05
2479,9.59E-05
8159,9.58E-05
5636,9.58E-05
1475,9.58E-05
2563,9.55E-05
2653,9.53E-05
5956,9.53E-05
2160,9.50E-05
11766,9.49E-05
971,9.48E-05
1394,9.47E-05
9294,9.47E-05
564,9.46E-05
4202,9.44E-05
1523,9.44E-05
1404,9.44E-05
7693,9.42E-05
3189,9.42E-05
2045,9.41E-05
3631,9.40E-05
82,9.40E-05
2605,9.40E-05
306,9.39E-05
1514,9.39E-05
4952,9.39E-05
2565,9.37E-05
4456,9.36E-05
2053,9.35E-05
3403,9.34E-05
1518,9.32E-05
4078,9.30E-05
1816,9.29E-05
2069,9.28E-05
1253,9.27E-05
7983,9.27E-05
3527,9.27E-05
991,9.26E-05
11235,9.26E-05
14558,9.26E-05
6870,9.25E-05
23977,9.25E-05
16030,9.25E-05
277,9.25E-05
2980,9.24E-05
154,9.24E-05
4413,9.23E-05
16832,9.22E-05
4572,9.22E-05
3780,9.21E-05
441,9.21E-05
5055,9.20E-05
2646,9.20E-05
952,9.19E-05
43647,9.19E-05
2814,9.19E-05
1238,9.19E-05
3071,9.18E-05
3500,9.17E-05
653,9.17E-05
8652,9.16E-05
14580,9.16E-05
5309,9.16E-05
2649,9.14E-05
3256,9.14E-05
14586,9.13E-05
2554,9.12E-05
1083,9.11E-05
1152,9.11E-05
419,9.11E-05
6978,9.09E-05
5930,9.08E-05
22123,9.07E-05
2322,9.06E-05
1863,9.06E-05
2050,9.05E-05
5139,9.05E-05
16127,9.03E-05
439,9.02E-05
942,9.02E-05
2369,9.01E-05
2237,9.00E-05
437,8.99E-05
9503,8.99E-05
279,8.99E-05
389,8.98E-05
3752,8.98E-05
1248,8.98E-05
4418,8.96E-05
987,8.94E-05
4956,8.94E-05
3459,8.94E-05
3115,8.94E-05
2379,8.93E-05
2513,8.92E-05
837,8.92E-05
2872,8.91E-05
3875,8.91E-05
5056,8.89E-05
985,8.89E-05
4363,8.88E-05
3523,8.87E-05
770,8.87E-05
23672,8.86E-05
14548,8.84E-05
3580,8.83E-05
450,8.83E-05
3104,8.82E-05
325,8.82E-05
1463,8.82E-05
1258,8.81E-05
9997,8.81E-05
1126,8.81E-05
2904,8.81E-05
4791,8.80E-05
1789,8.80E-05
1648,8.78E-05
2101,8.78E-05
3177,8.78E-05
575,8.77E-05
2183,8.75E-05
217,8.75E-05
1699,8.74E-05
3830,8.74E-05
91,8.74E-05
2495,8.70E-05
818,8.70E-05
3178,8.70E-05
2195,8.70E-05
6285,8.70E-05
6559,8.70E-05
5387,8.68E-05
2221,8.68E-05
1147,8.68E-05
5061,8.67E-05
3929,8.67E-05
11190,8.66E-05
1431,8.66E-05
5232,8.66E-05
4770,8.65E-05
1296,8.65E-05
6668,8.64E-05
4920,8.64E-05
4080,8.63E-05
1301,8.62E-05
106,8.62E-05
12413,8.62E-05
3514,8.62E-05
2328,8.61E-05
1779,8.61E-05
2602,8.60E-05
11695,8.59E-05
2198,8.59E-05
6730,8.58E-05
5957,8.57E-05
6047,8.55E-05
2083,8.54E-05
4954,8.52E-05
3184,8.51E-05
624,8.51E-05
1674,8.51E-05
21638,8.50E-05
1501,8.49E-05
15,8.47E-05
2708,8.47E-05
5304,8.47E-05
215,8.46E-05
3554,8.46E-05
988,8.46E-05
16571,8.45E-05
71389,8.44E-05
50607,8.43E-05
6383,8.42E-05
606,8.41E-05
8592,8.41E-05
5499,8.41E-05
2408,8.40E-05
6368,8.39E-05
12269,8.39E-05
6563,8.38E-05
50608,8.38E-05
1031,8.38E-05
2153,8.38E-05
646,8.38E-05
632,8.37E-05
6040,8.35E-05
71399,8.34E-05
3286,8.32E-05
14016,8.29E-05
3391,8.29E-05
3143,8.28E-05
66840,8.27E-05
3857,8.27E-05
4166,8.26E-05
303,8.26E-05
3520,8.25E-05
4596,8.25E-05
4458,8.23E-05
10606,8.23E-05
2337,8.23E-05
16711,8.22E-05
6478,8.22E-05
1009,8.22E-05
3454,8.20E-05
1069,8.18E-05
1319,8.18E-05
1646,8.18E-05
2690,8.18E-05
2075,8.16E-05
5216,8.16E-05
2992,8.16E-05
2251,8.16E-05
3966,8.16E-05
353,8.14E-05
2688,8.11E-05
2287,8.11E-05
4341,8.10E-05
2827,8.10E-05
5818,8.09E-05
4760,8.09E-05
14513,8.08E-05
2056,8.07E-05
4577,8.06E-05
3120,8.04E-05
10375,8.04E-05
1649,8.03E-05
2648,8.03E-05
24555,8.02E-05
1589,8.02E-05
4688,8.01E-05
6558,8.00E-05
86,8.00E-05
5621,7.99E-05
14493,7.97E-05
2180,7.97E-05
23596,7.96E-05
19809,7.96E-05
4368,7.95E-05
4124,7.95E-05
1264,7.94E-05
1551,7.94E-05
3721,7.94E-05
732,7.93E-05
5128,7.92E-05
4339,7.92E-05
4837,7.91E-05
12591,7.90E-05
5224,7.89E-05
3985,7.88E-05
4978,7.87E-05
4252,7.87E-05
7932,7.86E-05
17691,7.86E-05
8296,7.86E-05
3836,7.85E-05
5382,7.85E-05
4574,7.84E-05
544,7.83E-05
2252,7.83E-05
3033,7.83E-05
2335,7.81E-05
4049,7.80E-05
3106,7.79E-05
1806,7.79E-05
22365,7.79E-05
15335,7.79E-05
10698,7.78E-05
1022,7.77E-05
5965,7.77E-05
4620,7.77E-05
3433,7.76E-05
1299,7.76E-05
682,7.75E-05
2342,7.73E-05
7394,7.73E-05
6622,7.72E-05
6053,7.72E-05
2750,7.72E-05
676,7.71E-05
1218,7.70E-05
6625,7.70E-05
705,7.70E-05
2189,7.70E-05
2344,7.70E-05
7524,7.69E-05
1656,7.68E-05
10726,7.67E-05
5514,7.67E-05
6560,7.65E-05
22761,7.64E-05
5344,7.63E-05
11764,7.62E-05
6792,7.62E-05
10314,7.62E-05
6878,7.62E-05
32043,7.61E-05
3440,7.60E-05
283,7.60E-05
1318,7.59E-05
50463,7.59E-05
1717,7.58E-05
3720,7.58E-05
13960,7.57E-05
3261,7.56E-05
2316,7.56E-05
159,7.56E-05
1766,7.55E-05
5837,7.54E-05
771,7.52E-05
8933,7.52E-05
3266,7.51E-05
377,7.51E-05
1720,7.50E-05
